No.,Mitra,Judul Kerjasama,Dasar Hukum Mitra,Dasar Hukum RS,Tanggal Mulai ,Tanggal Selesai,Reminder 3 Bulan,Keterangan Kerjasama,ID Acara Kalender,Email Mitra,
13,Dinas Kesehatan Provinsi Jawa Timur,Pelayanan TB Resistan Obat,443.24/3054/102.3/2021,445/333/303/2021,31 Desember 2020,30 Desember 2025,30 September 2025,Perlu Proses Perpanjangan,3o5n68b6gde5027v9t4crf7nls@google.com,ppid@dinkes.jatimprov.go.id,
14,PT PLN (Persero) Kantor Pusat,Addendum III Perjanjian Kerjasama tentang Pelayanan Kesehatan Rawat Inap dan Rawat Jalan,0245.Add/HKM.02.01/F01080300/2023,100.3.7.1/48.788/102.9/2023,01 Januari 2024,31 Desember 2025,30 September 2025,Proses Oleh TU,fsevrl3pkolgiq5db6mtg505dk@google.com,tidak ada email,
15,Puskesmas Klecorejo,Pelayanan Kesehatan Tingkat Lanjutan ,"445/032/402,102,9/2023","445/1,722/102,9/2023",09 Januari 2023,09 Januari 2026,9 Oktober 2025,Tidak Diperpanjang,6lbjq22vddt0l0t4bindsve0o4@google.com,tidak ada email,
16,PT INKA Multi Solusi Service,Pelayanan Kesehatan Bagi Karyawan Tetap PT. INKA Multi Solusi Service dan Keluarganya Serta Karyawan Organik PT INKA (Persero) yang ditugaskan di PT INKA Multi Solusi Service,SP-04/D2/IMSS/2024,100.3.7.1/8511/102.9/2024,01 Maret 2024,28 Februari 2026,28 November 2025,Berjalan,rtdvor4rjt1s98qq4ukpr5mu7g@google.com,contact@imsservice.co.id,https://apprssm.rssoedono.jatimprov.go.id/sipedas/assets/file_surat_kerjasama/07-03-2022-1715736751-PKS_INKA_MMS_Pelayanan_Kesehatan_Karyawan_2024.pdf
17,PT BRI Tbk Kantor Cabang Madiun,Pelayanan Kesehatan Bagi Pekerja PT BRI Persero Tbk Cabang Madiun dan Keluarganya di RSUD dr. Soedono Madiun,126/KC-XVI/LYI/03/2023,"445/10,986/102,9/2023",01 Maret 2023,28 Februari 2026,28 November 2025,Berjalan,4t219f07ffioe9ibbl4onmvuvg@google.com,tidak ada email,belum ada scan PKS
18,PT Asuransi Jiwa Inhealth Indonesia ,Pelayanan Kesehatan dan Obat bagi Peserta PT Asuransi Jiwa Inhealth Indonesia,1.24/AJII/KOP.SBY/PKS/0324,"100,3,7,1/ 10055/102.9/2024",01 April 2024,31 Maret 2026,31 Desember 2025,Berjalan,kr8vbfmsr1qcb8g15af7nbk4do@google.com,public.relations@mandiriinhealth.co.id ,belum ada scan PKS
19,RSUD Dr. Harjono S. Ponorogo,Pelayanan Kesehatan Rujukan,100.3.7.1/KH/850/405.09.01/2024,100.3.7.1/   /102.9/2024,01 April 2024,31 Maret 2026,31 Desember 2025,Berjalan,akbl3s163t7gs46g4ua6lsr31k@google.com,rsudharjono@ponorogo.go.id,https://apprssm.rssoedono.jatimprov.go.id/sipedas/assets/file_surat_kerjasama/31-03-2022-1653455308-PKS_rsud_dr__Harjono_S_Ponorogo.pdf
20,RSI AT-Tin Husada Ngawi,Rujukan Pelayanan Kesehatan,311/PKS/RSI-ATTIN/III/2026,100.3.7.1/10221/102.9/2026,01 April 2026,31 Maret 2029,31 Desember 2028,Berjalan,tklpd560ujo2697d4hav83rbuk@google.com,Info@attinhusada@gmailcom,belum ada scan PKS
21,RSUD dr. Sayidiman Magetan,Kegiatan Kredensial dan Rekredensial Tenaga Dokter,800/925/403.300/2025,100.3.7.1/13887/102.9/2025,21 April 2025,20 April 2026,20 Januari 2026,Berjalan,0i57gr3a93tj9aothljiqengc0@google.com,rsud.dr.sayidiman.go.id,belum ada scan PKS
22,RSUD dr. Sayidiman Magetan,Addendum Kegiatan Kredensial dan Rekredensial Tenaga Dokter,800/      /403.300/2025,100.3.7.1/20131/102.9/2025,05/06/2025,20 April 2026,20 Januari 2026,Berjalan,0i57gr3a93tj9aothljiqengc0@google.com,rsud.dr.sayidiman.go.id,belum ada scan PKS
23,"dr. Pranawa, Sp.PD-KGH,FINASIM",Supervisi Pelayanan Hemodialisis,,100.3.7.1/18276/102.9/2024,01 Mei 2024,30 April 2026,30 Januari 2026,Berjalan,vfqdcnr4osad0orskch1d0ffcc@google.com,pernefrijatim@gmail.com,belum ada scan PKS
24,RSU Muslimat Ponorogo,Rujukan Pelayanan dan Penunjang Medis,028/SPK/RS-MP/V/2023,"445/21,658/102,9/2023",19 Mei 2023,18 Mei 2026,18 Februari 2026,Berjalan,in7ok2h3eqkesd7omq7f1htlq8@google.com,rsu.muslimat@gmail.com,belum ada scan PKS
25,RS Siti Aisyah Madiun,Pelayanan Kesehatan Rujukan,RSI-SA/187/III.6.AU/V/2023,"445/21,960/102,9/2023",22 Mei 2023,21 Mei 2026,21 Februari 2026,Berjalan,65oujm969ucb77p6it7g2q7ij4@google.com,,belum ada scan PKS
26,RSIA Al-Hasanah Kota Madiun,Rujukan Pelayanan Kesehatan,255/RSIA-AH-MN/VII/2023,"445/22,183/102,9/2023",22 Mei 2023,21 Mei 2026,21 Februari 2026,Berjalan,hpv4kud97mo7r7mrdpket2uqtk@google.com,tidak ada email,https://apprssm.rssoedono.jatimprov.go.id/sipedas/assets/file_surat_kerjasama/22-05-2023-1690172947-PKS_Rujukan_RSI_Al_Hasanah_2023.pdf
27,PJPK SINT CAROLUS,Pelayanan Kesehatan Rawat Jalan dan Rawat Inap Bagi Peserta Pelayanan Jaminan Pemeliharaan Kesehatan Sint Carolus dengan Skema Jaminan Perusahaan Murni untuk Rawat Jalan dan Koordinasi Manfaat BPJS Kesehatan untuk Rawat Inap,159A/PKS/Pelkes/PJPKSC/RSUD-DRS/VI/2024,100.3.7.1/          /102.9/2024,03 Juni 2024,31 Mei 2026,28 Februari 2026,Berjalan,fkv6jdge21trgr4pkgvai43lm0@google.com,office@pjpksintcarolus.com,https://apprssm.rssoedono.jatimprov.go.id/sipedas/assets/file_surat_kerjasama/03-06-2024-1724987112-PKS_Pelayanan_Kesehatan_PJPK_Sint_Carolus_2024.pdf
28,UPT Puskesmas Krebet,"Pelayanan  Kesehatan Rujukan Tingkat  Lanjutan Rawat Jalan, Rawat Inap Dan Poned",445/004/402.102.11/2023,"445/25,435/102,9/2023",01 Juni 2023,31 Mei 2026,28 Februari 2026,Berjalan,qqpsbllffmmt0f99vv3ni9vtek@google.com,tidak ada email,belum ada scan PKS
29,Rumah Sakit Santa Clara,Rujukan Pelayanan Kesehatan,035/RSSC-PKS/V/2023,"445/20.990/102,9/2023",02 Juni 2023,01 Juni 2026,1 Maret 2026,Berjalan,2c0maf6dbm23clfpajniehlioc@google.com,rs.santaclara@yahoo.com,belum ada scan PKS
30,RS Bhakti Persada Magetan,Pelayanan Kesehatan Rujukan,145/PKS/RSBP/VI/2023,"445/27,991/102,9/2023",05 Juni 2023,05 Juni 2026,5 Maret 2026,Berjalan,vnlk5jnq3harp5tdsfgbck1v6c@google.com,tidak ada email,belum ada scan PKS
31,RS Bhakti Persada Magetan,Addendum Pelayanan Kesehatan Rujukan,575/PKS/RSBP/X/2024,"100.3.7.1/37281/102,9/2024",16 September 2024,05 Juni 2026,5 Maret 2026,Berjalan,ek2oft7qpq6ptog3qkqa6akjhk@google.com,tidak ada email,belum ada scan PKS
32,Klinik Utama Rawat Inap Yepa Husada Kaibon,Rujukan Pelayanan dan Penunjang Medis,2307/YHK/PKS/01,"445/27,064/102,9/2023",01 Agustus 2023,31 Juli 2026,30 April 2026,Berjalan,8o4va6llvaq6764p4cp4061p6o@google.com,tidak ada email,belum ada scan PKS
33,UPTD Puskesmas Takeran,Pelayanan Kesehatan Rujukan,445/818/403.103.13/2023,"445/30,359/102.9/2023",01 Agustus 2023,31 Juli 2026,30 April 2026,Berjalan,4j38p1lg4llq3p144hv4q6pung@google.com,tidak ada email,https://apprssm.rssoedono.jatimprov.go.id/sipedas/assets/file_surat_kerjasama/27-07-2023-1700209223-Scan_PKS_Puskesmas_Takeran_2023.pdf
34,PT Kartika Bina Medikatama,Pelayanan Kesehatan,492/KBM-RSSPJT/PKS/N/2023,"445/34,457/102,9/2023",01 September 2023,31 Agustus 2026,31 Mei 2026,Berjalan,b00ka3fpg07ka5mhp5eqnoqf80@google.com,tidak ada email,belum ada scan PKS
35,UPT Puskesmas Gorang - Gareng Taji,Pelayanan Rujukan Lanjutan,445/1205/403.103.14/2022,445/ 55.352 / 102.9/2022,01 Oktober 2022,30 September 2026,30 Juni 2026,Berjalan,q3b08m552ic9ri4bgop1tkrr2k@google.com,grgrtaji.pusk@gmail.com,belum ada scan PKS
36,Dinas Kesehatan Kabupaten Madiun,Pelayanan Kesehatan Tingkat Lanjutan (Rujukan),"440/7598,1/401,102/2023",100.3.7/40.962/102.9/2023,01 November 2023,31 Oktober 2026,31 Juli 2026,Berjalan,ibnp3f385u77gagi6rrvjpth5o@google.com,dinkes@dinkeskabmadiun.com,belum ada scan PKS
37,RS Santa Clara,Pelayanan Tenaga Medis Spesialis Anestesi,100.3.7.1/42.472/102.9/2023,095a/RSSC-PKS/XI/2023,01 November 2023,31 Oktober 2026,31 Juli 2026,Berjalan,dk7aaubrd9si7o28d4c70b2rk4@google.com,rs.santaclara@yahoo.com,belum ada scan PKS
38,RSUD Dr. Moewardi ,Pelayanan Rujukan Pasien,445/12085/2024,100.3.7.1/44505/102.9/2024,18 November 2024,17 November 2026,17 Agustus 2026,Berjalan,88fll39v4lc7jqmk0o8bvpg3k8@google.com,rsmoewardi@jatengprov.go.id,https://apprssm.rssoedono.jatimprov.go.id/sipedas/assets/file_surat_kerjasama/01-09-2022-1700206494-PKS_Rujukan_RSUD_Dr__Moewardi.pdf
39,PT Asuransi BRI life,Pelayanan Kesehatan Secara Berlangganan,B.617/DIR/PMO/PHC/III/2024,100.3.7.1/46.230/102.9/2023,01 Desember 2023,30 November 2026,30 Agustus 2026,Berjalan,d0jdpue26fgg1nc0hsalbshjek@google.com,cs@brilife.co.id,https://apprssm.rssoedono.jatimprov.go.id/sipedas/assets/file_surat_kerjasama/27-11-2023-1715673338-PKS_PT_Asuransi_BRI_Life_2024_11zon.pdf
40,Larissa Aesthetic Center,"Pelayanan Kesehatan Rujukan Pasien, Rujukan Pemeriksaan Radiologi dan Rujukan Pemeriksaan Laboratorium",049/LABCM/XII/2024,100.3.7.1/47479102.9/2024,01 Desember 2024,30 November 2026,30 Agustus 2026,Berjalan,klfedprj0pmtm8qh1kvkh063bc@google.com,customer.care@larissa.co.id,belum ada scan PKS
41,PT Pertamina Bina Medika IHC,Pelayanan Kesehatan ,0049/A00000/2025-S0,100.3.7.1/1883/102.9/2024,06 Desember 2024,06 Desember 2026,6 September 2026,Berjalan,hatatmghoe19ibai1sre5ohlfg@google.com,info@ihc.id atau hcga@pertamedika.co.id,belum ada scan PKS
42,Komisi Penanggulangan HIV AIDS Daerah Kabupaten Madiun,Program Pencegahan dan Penanggulangan HIV dan AIDS di Kabupaten Madiun,134/004/SEKTAP/I/2024,100.3.7.1/ 166 /102.9/2024,01 Januari 2024,31 Desember 2026,30 September 2026,Berjalan,u5953acdeeupb4pqu9gvoc4rp4@google.com,tidak ada email,belum ada scan PKS
43,YAKES TELKOM,Pelayanan Kesehatan dan Perawatan bagi Peserta Yakes Telkom,154/HK.620/YAKES-053/2021,445/7.144/102.9/2022,01 Januari 2022,31 Desember 2024,30 September 2024,Berjalan,ip16j1i4m0r0qjsr28ejd7tetc@google.com,info@yakestelkom.or.id,belum ada scan PKS
44,YAKES TELKOM,Addendum Pelayanan Kesehatan dan Perawatan bagi Peserta Yakes Telkom,090/HK.620/YAKES-053/2024,100.3.7.1/26513/102.9/2024,12 Juli 2024,31 Desember 2026,30 September 2026,Berjalan,5shcltv6sm4gjd58uliihfrh8o@google.com,info@yakestelkom.or.id,belum ada scan PKS
45,PT INKA Multi Solusi,Pelayanan Kesehatan Bagi Pegawai PT INKA Multi Solusi Dan Keluarganya Di RSUD dr. Soedono Madiun,SPJ-001a/D2/IMS/2023,"445/1.694/102,9/2023",01 Januari 2023,31 Desember 2026,30 September 2026,Berjalan,qipiapa4pm7s4vepk9oeu6ss70@google.com,sekretariat@inkamultisolusi.co.id,https://apprssm.rssoedono.jatimprov.go.id/sipedas/assets/file_surat_kerjasama/02-01-2024-1709871149-PKS_PT_Inka_2024.pdf
46,BPJS Ketenagakerjaan Cabang Madiun,Pelaksanaan Pelayanan Kesehatan bagi Peserta Program Jaminan Kecelakaan Kerja,PER/153/122025,100.3.7.1/47136/102.9/2025,01 Januari 2026,31 Desember 2026,30 September 2026,Berjalan,s27u1t37trns5tip4ersb0h4n8@google.com,"firman.hidayat@bpjsketenagakerjaan.go.id
081357014276",https://apprssm.rssoedono.jatimprov.go.id/sipedas/assets/file_surat_kerjasama/14-12-2023-1710915549-PKS_BPJS_Ketenagakerjaan_2023.pdf
47,BPJS Kesehatan Cabang Madiun,Pelayanan kesehatan rujukan tingkat lanjutan bagi peserta program jaminan kesehatan,533/KTR/VII-03/1225,100.3.7.1/48778/102.9/2025,01 Januari 2026,31 Desember 2026,30 September 2026,Berjalan,hkon43j6hh6s1neoit655m2h9g@google.com,kc-madiun@bpjs-kesehatan.go.id,belum ada scan PKS
48,PT INDUSTRI KERETA API (Persero),Pelayanan Kesehatan Bagi Karyawan PT Industri Kereta Api (Persero) Dan Keluarganya Di RSUD dr Soedono Provinsi Jawa Timur,SPJ-04/220/INKA/2024,100.3.7.1/167/102.9/2024,06 Januari 2024,05 Januari 2027,5 Oktober 2026,Berjalan,j7i04epjgqilu3p8au1vj28io4@google.com,sekretariat@inka.co.id,https://apprssm.rssoedono.jatimprov.go.id/sipedas/assets/file_surat_kerjasama/02-01-2024-1709871149-PKS_PT_Inka_2024.pdf
49,Rumah Sakit Tingkat IV Madiun,Rujukan Pelayanan dan Penunjang Medis,PKS/24/III/2024,100.3.7.1/4912/102.9/2024,01 Februari 2024,31 Januari 2027,31 Oktober 2026,Berjalan,juf88a8rb2jkr3jg6evapqqajg@google.com,rumkittk.ivmadiun@yahoo.co.id,https://apprssm.rssoedono.jatimprov.go.id/sipedas/assets/file_surat_kerjasama/01-10-2021-1639110703-PKS_RS_TK_IV_MADIUN.pdf
50,Klinik Erha Skin Madiun,Rujukan Pelayanan Kesehatan,002/ECI-PKS/III/2024,100.3.7.1/7772/102.9/2024,01 Maret 2024,01 Maret 2027,1 Desember 2026,Berjalan,vpep72k7ns68abclknaa1vglbc@google.com,erhamadiun@gmail.com,https://apprssm.rssoedono.jatimprov.go.id/sipedas/assets/file_surat_kerjasama/04-03-2024-1715731411-Scan_PKS_Klinik_Erha_Skin_ttg_Rujukan_Pelayanan_Kesehatan_2024.pdf
51,Klinik Ahza Medika Pangkur,Pelayanan Rujukan Lanjutan,004/KAMP-MOU/ II/2024,100.3.7.1/4733/102.9/2024,01 April 2024,31 Maret 2027,31 Desember 2026,Berjalan,18748krmmp0q2ajf7rn8qi9h2o@google.com,tidak ada email,belum ada scan PKS
52,Yayasan Bambu Nusantara,Program Penanganan Tuberkulosis,042/SK/YBN/III/2025,100.3.7.1/11911/102.9/2025,01 April 2025,31 Maret 2027,31 Desember 2026,Berjalan,2pb69o0r5aed28591ipgu38da8@google.com,tidak ada email,belum ada scan PKS
53,PT. Asabri,Pelayanan Pengobatan dan Perawatan Program Jaminan Kecelakaan Kerja Bagi Peserta ASABRI Aktif,PERJ-…../HK.02.01/HBL.H/…./2024,100.3.7.1/4733/102.9/2024,01 Mei 2024,30 April 2027,30 Januari 2027,Proses Mitra,uod4kcc25h03pps6vdsk94bt20@google.com,asabri@asabri.co.id,
54,Yayasan Kesehatan Pertamina,Pelayanan Kesehatan bagi Pegawai,SP-233B/YK1000/2024-S0,100.3.7.1/17755/102.9/2024,01 Juni 2024,31 Mei 2027,28 Februari 2027,Berjalan,jigo2dis3g6r2jnegpduf9sp6s@google.com,tidak ada email,belum ada scan PKS
55,Yayasan Kesehatan Pertamina,Pelayanan Kesehatan Bagi Pegawai Yayasan Kesehatan Pertamina,,100.3.7.1/23720/102.9/2024,01 Juli 2024,30 Juni 2027,30 Maret 2027,Proses Mitra,33nbns7uhf30ahb7sf4kfn62s8@google.com,tidak ada email,
56,RSAU dr. Efram Harsana Lanud Iswahyudi Kabupaten Magetan,Pelayanan Kesehatan Rujukan,PKS/38/VIII/2024/RSEH,100.3.7.1/28853/102.9/2024,09 Agustus 2024,08 Agustus 2027,8 Mei 2027,Berjalan,8i5v9s6r53mmc7fjcjdkbsifn4@google.com,tidak ada email,https://apprssm.rssoedono.jatimprov.go.id/sipedas/assets/file_surat_kerjasama/11-07-2022-1700205559-PKS_RSAU_dr_Efram_Harsana.pdf
57,"RSU ""Darmayu"" Ponorogo",Pelayanan Rujukan Pasien,560.RS.Dmy/PKS/B-RS/VII/2024,100.3.7.1/28854/102.9/2024,25 Agustus 2024,24 Agustus 2027,24 Mei 2027,Berjalan,29g7362ojntntc5hm4c0c1ilqk@google.com,rsudarmayu@yahoo.com,belum ada scan PKS
58,Rumah Sakit Daerah Nganjuk,Pelayanan Rujukan,,100.3.7.1/       /102.9/2024,02 September 2024,31 Agustus 2027,31 Mei 2027,Proses Mitra,ekkvrvij1pmbml3bfkgj2oploo@google.com,infoyan@rsd.nganjukkab.go.id,
59,RS Hermina Madiun,Rujukan Pelayanan Kesehatan,003/PKS-JANGMED/VIII/2024,100.3.7.1/33592/102.9/2024,12 September 2024,12 September 2027,12 Juni 2027,Berjalan,lobfak5ve4pqd7aalul9kb9tbo@google.com,jangmed.madiun@herminahospitals.com,belum ada scan PKS
60,RSUD RADJIMAN WIDIODININGRAT,Pengampuan Bidang Pelayanan Kesehatan Jiwa,HK.03.01/dXXXXVII/DXXXVII/1553/2024,100.3.7.1/33741/102.9/2014,13 September 2024,12 September 2027,12 Juni 2027,Berjalan,7ecemje113oc66rcrkk9p7m6v4@google.com,info@rsjrw.id,belum ada scan PKS
61,RS Paru Manguharjo Madiun,Pelayanan Perawatan Pasien Tuberkolosis Resisten Obat,400.7/1517/102.14/2024,100.3.7.1/36289/102.9/2024,01 Oktober 2024,30 September 2027,30 Juni 2027,Berjalan,h0urahe1mn5b3r4cq4896unems@google.com,rspmanguharjo@gmail.com,https://apprssm.rssoedono.jatimprov.go.id/sipedas/assets/file_surat_kerjasama/15-09-2023-1700209564-Scan_PKS_RS_Paru_Manguharjo_2023.pdf
62,RSU Muhammadiyah Ponorogo,Pelayanan Rujukan Pasien,2023/PER/IV.5.AU/A/2024,"100.3.7.1/41427/102,92/2024",01 Oktober 2024,30 September 2027,30 Juni 2027,Berjalan,alj4jpr9kr5cvu5krcho52gau8@google.com,tidak ada email,belum ada scan PKS
63,PT. Jasa Raharja Madiun,Penanganan dan Penyelesaian Santunan Korban Kecelakaan Penumpang Angkutan Umum dan Lalu Lintas Jalan,P/28/SP/2022,445/70.137/102.9/2022,05 Oktober 2022,04 Oktober 2027,4 Juli 2027,Berjalan,h2f3415ot2qeli6h8c2hlv29fc@google.com,tidak ada email,https://apprssm.rssoedono.jatimprov.go.id/sipedas/assets/file_surat_kerjasama/02-12-2022-1677810503-PKS_Korban_Laka_PT_Jasa_Raharja.pdf
64,PT. Jasa Raharja Madiun,Addendum Penanganan dan Penyelesaian Santunan Korban Kecelakaan Penumpang Angkutan Umum dan Lalu Lintas Jalan,P/34/SP/2024,100.3.7.1/ 33575 / 102.9 / 2024,13 September 2024,04 Oktober 2027,4 Juli 2027,Berjalan,i8euvuosqrekumce0mg34njgl8@google.com,tidak ada email,https://apprssm.rssoedono.jatimprov.go.id/sipedas/assets/file_surat_kerjasama/02-12-2022-1677810503-PKS_Korban_Laka_PT_Jasa_Raharja.pdf
65,PT. Jasa Raharja Madiun,Addendum II Penanganan dan Penyelesaian Santunan Korban Kecelakaan Penumpang Angkutan Umum dan Lalu Lintas Jalan,P/3/SP/2026,100.3.7.1/4452/102.9/2026,3 Februari 2026,04 Oktober 2027,4 Juli 2027,Berjalan,1ng7gvdnoeop64nko5i04lf698@google.com,tidak ada email,https://apprssm.rssoedono.jatimprov.go.id/sipedas/assets/file_surat_kerjasama/02-12-2022-1677810503-PKS_Korban_Laka_PT_Jasa_Raharja.pdf
66,RSIA Melati Magetan,Pelayanan Kesehatan Tingkat Lanjutan,054/RSIA-M/DIR/X/2024,"100.3.7.1/40121/102,9/2024",01 November 2024,31 Oktober 2027,31 Juli 2027,Berjalan,qhh31c5p7c8jrhqtdvets94b6s@google.com,tidak ada email,belum ada scan PKS
67,RSUD Kota Madiun,Pelayanan Rujukan Lanjutan,100.3.7.1/410/401.103.8/2024,100.3.7.1/41955/102.9/2024,01 November 2024,31 Oktober 2027,31 Juli 2027,Berjalan,ml9i2miqvg79jq21ravia71mg4@google.com,rsudkotamadiun@gmail.com,https://apprssm.rssoedono.jatimprov.go.id/sipedas/assets/file_surat_kerjasama/01-11-2022-1700206650-PKS_rujukan_RSUD_Kota_Madiun_Sogaten_2022.pdf
68,RSUP Dr. Kariadi Semarang,Pelayanan Rujukan Pasien,100.3.7.1/40384/102.9/2024,HK.03.01/D.X/2617/2024,01 November 2024,31 Oktober 2027,31 Juli 2027,Berjalan,7pvcacj30u6tu5iksb2503q9j0@google.com,info@rskariadi.co.id,https://apprssm.rssoedono.jatimprov.go.id/sipedas/assets/file_surat_kerjasama/01-11-2022-1700207048-PKS_rujukan_RSUP_Kariadi_Semarang_2022.pdf
69,PT Kereta Api Indonesia (Persero),Pelayanan Kesehatan bagi Peserta Jaminan Kesehatan Perusahaan PT Kereta Api Indonesia (PERSERO),KL.705/X/18/DO.7-2024,100.3.7.1/45972/102.9/2024,01 Januari 2025,31 Desember 2027,30 September 2027,Berjalan,fev7gl7s0h8gea97b1r3t0h6ks@google.com,dokumen@kai.id,https://apprssm.rssoedono.jatimprov.go.id/sipedas/assets/file_surat_kerjasama/02-01-2024-1709871149-PKS_PT_Inka_2024.pdf
70,PT Kereta Api Indonesia (Persero),Berita Acara Negosiasi Kerjasama Pelayanan Kesehatan ,KL.707/XII/2/DO.7-2024,100.3.7.1/50753/102.9/2024,01 Januari 2025,31 Desember 2027,30 September 2027,Berjalan,a6u955h1r1rbft4fq0fpdban0g@google.com,dokumen@kai.id,belum ada scan PKS
71,Dinas Kesehatan Pengendalian Penduduk dan Keluarga Berencana Kota Madiun,Penyiaran Program P:odcast Kawan Diska ,440/101/401.103/2026,100.3.7.1/478/102.9/2026,05 Januari 2026,31 Desember 2027,30 September 2027,Berjalan,lod0san023ak7rjivu249mklks@google.com,dinkes.madiunkota@gmail.com,https://apprssm.rssoedono.jatimprov.go.id/sipedas/assets/file_surat_kerjasama/10-02-2025-1750661098-scan_PKS_dengan_Dinkes_Kota_Madiun_ttg_Podcast_Kawan_Diska.pdf
72,PT Taspen (Persero),Perawatan Peserta Program Jaminan Kecelakaan Kerja PT Taspen (Persero),JAN-08/C.5.2/022025,100.3.7.1/51478/102.9/2024,01 Januari 2025,01 Januari 2028,1 Oktober 2027,Berjalan,1ucj03enbqlflo00nllkkhovik@google.com,taspen@taspen.co.id,belum ada scan PKS
73,RSI 'Aisyiyah Nganjuk,Pelayanan Rujukan Pasien,14.PK/III.6.AU/J/2025,100.3.7.1/434/102.9/2025,21 Januari 2025,20 Januari 2028,20 Oktober 2027,Berjalan,06h5srvsp67o9qktoos450bom0@google.com,rsiaisyiyahnganjuk@gmail.com,belum ada scan PKS
74,PT Asuransi Perisai Listrik Nasional (PLN Insurance),Pelayanan Perawatan dan Pengobatan,,100.3.7.1/5597/102.9/2025,01 Februari 2025,31 Januari 2028,31 Oktober 2027,Proses Mitra,4ops136r41hdvghql1s661nvu4@google.com,cs@plninsurance.co.id,
