Column 1,Mitra 1,Mitra 2,Judul Kerjasama,Dasar Hukum Mitra 1,Dasar Hukum Mitra 2,Dasar Hukum RS,Tanggal Mulai ,Tanggal Selesai,Reminder 3 Bulan,Keterangan Kerjasama,ID Acara Kalender,Email Mitra,URL,
16,PT Nusa Karya Mulya Medika,,Layanan Sterilisasi Produk Jadi,002/NKMM/IX/2024,,100.3.7.1/36276/102.9/2024,1 Oktober 2024,30 September 2027,30 Juni 2027,Berjalan,goqrj2tsvtkvsnnc8qg6r8rb1s@google.com,nusakaryamulyamedika@gmail.com,belum ada scan PKS,
17,PT Telekomunikasi Indonesia Tbk Wilayah Telekomunikasi Suramadu,,Penyediaan Jasa Layanan Information and communication technology (ICT),Tel.1241/HK 810/T3W-0A0L0000/2024,,100.3.7.146903/102.9/2024,1 Januari 2025,31 Desember 2027,30 September 2027,Berjalan,1nreac532t7t9pat4eclc6ppok@google.com,eppid@telkom.co.id,https://apprssm.rssoedono.jatimprov.go.id/sipedas/assets/file_surat_kerjasama/02-01-2024-1709602772-Kontrak_Berlangganan_PT_Telkom_dgn_RSSM_tahun_2024.pdf,
18,PT Saba Indomedika Surabaya,,Penggunaan Alat Pneumatic Tube Transport System Merk Hunter IT di Laboratorium Terpadu RSUD dr. Soedono Provinsi Jawa Timur,2466/PKS/SI-FSO/HANTER IT-PNEUMATIC TUBE/XII/2024,,100.3.7.1/46.877/102.9/2024,1 Januari 2025,31 Desember 2027,30 September 2027,Berjalan,e2l66l0sl946kkn3079nrb1rqg@google.com,eko.prasetyo@sabaindomedika.com,https://apprssm.rssoedono.jatimprov.go.id/sipedas/assets/file_surat_kerjasama/02-12-2024-1750661418-scan_PKS_PT_Saba_ttg_Pneumatic_Tube_Hunter_IT.pdf,
19,PT Telekomunikasi Indonesia Tbk Wilayah Telekomunikasi Madiun,,Penyediaan Jasa Layanan Information and communication technology (ICT),K.TEL/1      1/YN 000/T3W-0C0P0000/2025,,100.3.7.1/             /102.9/2025,1 Januari 2026,31 Desember 2027,30 September 2027,Berjalan,8mon8cspog3lhh9vspg7ca3apo@google.com,,belum ada scan PKS,
20,PT. PRODIA WIDYAHUSADA Tbk (RS Rujuk ke Prodia),,Rujukan Parsial Pelayanan Pemeriksaan Penunjang Diagnostik,018/MDI/SPK.RR/XII/2025,,100.3.7.1/40923/102.9/2025,1 Januari 2025,31 Desember 2027,30 September 2027,Berjalan,iaiku6ru9oh4b8o6pabc35r2bg@google.com,madiun.pms@prodia.co.id,belum ada scan PKS,
21,Dinas Kependudukan dan Catatan Sipil Kabupaten Magetan,,Pembuatan Dokumen Kependudukan,100.3.7/44/403.111/2025,,100.3.7.1/12394/102.9/2025,11 Mei 2025,10 Mei 2028,10 Februari 2028,Berjalan,jnplailc7l4cfoprtcvf2ep0ps@google.com,tidak ada,belum ada scan PKS,
22,PT. PRODIA WIDYAHUSADA Tbk (Prodia Rujuk ke RS),,Rujukan Pemeriksaan Penunjang Medis Laboratorium Medis Prodia Widyahusada Tbk,018/MDI/SPK.RR/XII/2025,,100.3.7.1/27086/102.9/2025,28 Juli 2025,20 Juli 2028,20 April 2028,Berjalan,iaiku6ru9oh4b8o6pabc35r2bg@google.com,madiun.pms@prodia.co.id,belum ada scan PKS,
23,PT Dexa Arfindo Pratama,,Penggunaan Alat Kesehatan Immunohematology Instrumentation Merk Matrix Type Crossmatching,I.025/DAP-MOU.TS/IV-25,,100.3.7.1/22971/102.9/2025,1 Agustus 2025,31 Juli 2028,30 April 2028,Berjalan,dhqr1pk48ds91heune44i42nu0@google.com,tidak ada,belum ada scan PKS,
24,PT. Sinar Roda Utama,,Pelayanan Hemodialisa,100.3.7.1/47145/102.9/2023,,473/SRU/HD/KSO/XII/2023,1 Januari 2024,31 Desember 2028,30 September 2028,Berjalan,i8243j38dq0b67v8gmi40h5osc@google.com,sales.sby@sinarrodautama.co.id,belum ada scan PKS,
25,PT Dimensi Citra Semesta,,Layanan Hematology Mindray di  Laboratorium Instalasi Gawat Darurat RSUD dr. Soedono Provinsi Jawa Timur,0071/26/I/KSO/DCS/SBY,,100.3.3.7.1/44468/102.9/2025,1 Januari 2026,31 Desember 2028,30 September 2028,Berjalan,649k86ql48ep7jptstcguknobc@google.com,dcsmedika@gmail.com,belum ada scan PKS,
26,PT Saba Indomedika Surabaya,,Layanan Hematology Analyzer Sysmex XN-1000B1 di Instalasi Laboratorium Terpadu,0026/PKSC/SI-FSO/SYSMEX-XN-1000-B1/XI/2025,,100.3.7.1/44459/102.9/2026,1 Januari 2026,31 Desember 2028,30 September 2028,Berjalan,qou26ov6ugj2464rkndtaaiu00@google.com,eko.prasetyo@sabaindomedika.com,belum ada scan PKS,
27,PT Dexa Arfindo Pratama,,Pelayanan Pemeriksaan Kimia Klinik Analyser Instrumentation Laboratory (Type Pentra C 400) di Instalasi Laboratorium Terpadu RSUD dr. Soedono Provinsi Jawa Timur,I.102/DAP-P.MOU.TS/XII-25,,100.3.7.1/43762/102.9/2025,1 Januari 2026,31 Desember 2028,30 September 2028,Berjalan,llhftgt9rffj33pcs4iaqlnjr0@google.com,aiman.dexaap@gmail.com,belum ada scan PKS,
28,PT Multimedilab Karyamandiri,,Penempatan Alat Chemiluminescence Immunoassay (Clia) System,033/KSO.M-800/MMK-SB/VII/2025,,100.3.7.1/22967/102.9/2025,7 Juli 2025,7 Juli 2030,7 April 2030,Berjalan,5pe9o15m06vtioiqc17n7unc7k@google.com,multimedilabkaryamandirisby@gmail.com,https://apprssm.rssoedono.jatimprov.go.id/sipedas/assets/file_surat_kerjasama/01-07-2025-1760185674-Scan_PKS_PT_Multimedilab_Karyamandiri_ttg_Alat_CLIA.pdf,
29,Biro Umum Setda Provinsi Jawa Timur,,Berita Acara Serah Terima Pinjam Pakai Kendaraan,,,024/73/032.1/2025,1 Januari 2025,31 Desember 2025,30 September 2025,Perlu Proses Perpanjangan,ehpqa3vkvn1gcvj19kq0pom4k4@google.com,jks.biroumum@jatimprov.go.id,,
30,Kejaksaan Negeri Kota Madiun,,"Penanganan Permasalahan Hukum 
Bidang Perdata dan Tata Usaha Negara","445/15,721/102,9/2023",,NKS-01/M.5.14/GS/04/2023,3 April 2023,3 April 2025,3 Januari 2025,Tidak Diperpanjang,a39shjmfvcs80c198nsnad8lr0@google.com,tidak ada,,
31,FK UII,RSJD DR. RM. Soedjarwadi,Addendum Pelaksanaan Program Pendidikan di Rumah Sakit Jejaring ,347.a/Dek/01/Profesi/IV/2022,445/14.548/102.9/2022,019.5/4137,4 April 2022,3 April 2025,3 Januari 2025,Perlu Proses Perpanjangan,vjpadalg8cedns797k3n3mhj1k@google.com,fk@uii.ac.id,soedjarwadi@jatengprov.go.id,
32,IIK Bhakti Wiyata Kediri,,"Tridharma Perguruan Tinggi
",205/R/U/U/2022,,445/7.215/102.9/2022,1 Mei 2022,30 April 2025,30 Januari 2025,Perlu Proses Perpanjangan,6s52qjh1bpduikhjkd228oilbc@google.com,tidak ada,,
33,IIK Bhakti Wiyata Kediri,0,Addendum Tridharma Perguruan Tinggi,437/R/U/IV/2024,,100.3.7.1/7.215/102.9/2024,24 April 2024,30 April 2025,30 Januari 2025,Perlu Proses Perpanjangan,hth853nll95rcndio3bcltao9s@google.com,tidak ada,,
34,FK UII,RSI Yogyakarta PDHI,RSI Yogyakarta PDHI sebagai RS Pendidikan Satelit Fakultas Kedokteran Universitas Islam Indonesia Yogyakarta,890.a/Dek/01/Div.Um/IX/2022,445/49.874/102.9/2022,1569/KS 4.1/IX/2022,1 September 2022,31 Agustus 2025,31 Mei 2025,Perlu Proses Perpanjangan,a69s9o1e4vukj856ssfbbhj2gs@google.com,fk@uii.ac.id,humas@rsiypdhi.com,diklat@rsiy@gmail.com
35,Fak. Ekonomika dan Bisnis Universitas Negeri Surabaya,,"Kerjasama di Bidang Merdeka Belajar, Pengembangan Pendidikan, Penelitian dan Pengabdian kepada Masyarakat",62822/UN38.7/KS.06/2022,,445/48.903/102.9/2022,1 September 2022,31 Agustus 2025,31 Mei 2025,Perlu Proses Perpanjangan,cos4hfhv57jg6fgen2qm8gt28c@google.com,fakultasekonomi@unesa.ac.id,,
36,PPNI Kota Madiun,,Kesepakatan Bersama Pelaksanaan Pelatihan/ Workshop Bagi Tenaga Kesehatan,059/DPN.PPNI/S/K.S/11/2023,,"445/1,704/102,9/2023",9 Januari 2023,8 Januari 2026,8 Oktober 2025,Perlu Proses Perpanjangan,lhiji204hkd1gpd7cdb8ne8ik0@google.com,ppnimadiun@gmail.com,,
37,Koperasi Jasa Institut Riset Eijkman,,Surveilans dan Peningkatan Kapasitas Deteksi dan Pemantauan Resistensi Antimikroba Bakteri Penyebab Infeksi Invasif di Indonesia,023/KIRE/II/2023,,"445/1,705/102,9/2023",1 Februari 2023,31 Januari 2026,31 Oktober 2025,Berjalan,pidp5phk4agd4m4onoi27brels@google.com,tidak ada,https://apprssm.rssoedono.jatimprov.go.id/sipedas/assets/file_surat_kerjasama/17-02-2023-1679887876-PKS_KIRE_EIJKMAN_2023.pdf,
38,Erha Skin Madiun,,Pengelolaan Laundry Linen,,,100.3.7.1/10.962/102.9/2024,1 April 2024,31 Januari 2026,31 Oktober 2025,Berjalan,nm68n93n3tqs9dsmsvm1gja0k0@google.com,tidak ada,https://apprssm.rssoedono.jatimprov.go.id/sipedas/assets/file_surat_kerjasama/22-03-2024-1715662765-Scan_PKS_Laundry_dengan_Erha_Clinic.pdf,
39,STIKES Bhakti Husada Mulia Madiun,,"kegiatan proses belajar mengajar, praktik, penelitian dan pengabdian masyarakat di RSUD dr. Soedono Provinsi Jawa Timur",026/STIKES/BHM/MoU/III/2023,,"445/11,144/102,9/2023",1 Maret 2023,28 Februari 2026,28 November 2025,Berjalan,s28vldakfc075ouihtj12fd0bg@google.com,stikesbhm@gmail.com atau pmbstikesbhm@gmail.com,https://apprssm.rssoedono.jatimprov.go.id/sipedas/assets/file_surat_kerjasama/22-03-2024-1715662765-Scan_PKS_Laundry_dengan_Erha_Clinic.pdf,
40,Program Pasca Sarjana Universitas Muhammadiyah Yogyakarta,,Penyelenggaraan Pelaksanaan Tri Dharma Perguruan Tinggi,273/C.6-VIII/PPs-UMY/III/2023,,"445/15,050/102,9/2023",1 April 2023,31 Maret 2026,31 Desember 2025,Berjalan,nli9a23g6ktnu5ob85tmv0963o@google.com,pascasarjana@umy.ac.id,belum ada scan PKS,
41,Kolegium Anestesiologi dan Terapi Intensif Indonesia Indonesia (KATI),,Program Pendidikan Fellowship of Interventional Pain (FIP),"445/22,064/102,9/2023",,18/MOU/V/2023,23 Mei 2023,22 Mei 2026,22 Februari 2026,Berjalan,3jje21isuh1d1oo1n3d1eaf56c@google.com,info@kati.or.id,https://apprssm.rssoedono.jatimprov.go.id/sipedas/assets/file_surat_kerjasama/31-08-2023-1704677077-addendum_PKS_dengan_KATI_FIP_2023.pdf,
42,Kolegium Anestesiologi dan Terapi Intensif Indonesia Indonesia (KATI),,Addendum Program Pendidikan Fellowship of Interventional Pain (FIP),33/MOU/XII/2023,,100.3.7.1/34.245/102.9/2023,1 September 2023,22 Mei 2026,22 Februari 2026,Berjalan,quda74mj7ntrbne8h9qpld4rjg@google.com,info@kati.or.id,https://apprssm.rssoedono.jatimprov.go.id/sipedas/assets/file_surat_kerjasama/31-08-2023-1704677077-addendum_PKS_dengan_KATI_FIP_2023.pdf,
43,Akademi Manajemen Administrasi Yogyakarta,,Penyelenggaraan Kegiatan tri Dharma Perguruan Tinggi,019/MOU/DIR/AMAYO/2023,,445/28.212/102.9/2023,1 Juli 2023,30 Juni 2026,30 Maret 2026,Berjalan,bj1m6dtd5iuesq6qcgd80gm7lc@google.com,info@amayogyakarta.ac.id,belum ada scan PKS,
44,Universitas Katolik Soegijapranata,,Pelaksanaan Kerja Praktik/ Magang untuk Mahasiswa,01327/H.7.1/FTP/06/2024,,100.3.7.1/        /102.9/2024,22 Juli 2024,21 Juli 2026,21 April 2026,Berjalan,q47e5sco047ibjq3cenojf2jvk@google.com,unika@unika.ac.id,belum ada scan PKS,
45,Universitas Muhammadiyah Madiun,,Penyelenggaraan tri Dharma Perguruan Tinggi,289/D.2-II/SR-UMMAD/VII/2023,,445/28.838/102.9/2023,1 Agustus 2023,31 Juli 2026,30 April 2026,Berjalan,dgoafjp68of7h7prpd3oov5t54@google.com,ummad@ummad.ac.id,https://apprssm.rssoedono.jatimprov.go.id/sipedas/assets/file_surat_kerjasama/14-07-2023-1700619695-PKS_Unmuh_Madiun_2023.pdf,
46,Fakultas Kedokteran Universitas Islam Indonesia,RS Universitas Islam Indonesia,RS Univ. Islam Indonesia sebagai Rumah Sakit Pendidikan Satelit RSUD dr. Soedono Madiun,627.a/dek-FK/01/Div.Adm.URT-FK/VI/2025,077/1/07/VI/2025,100.3.7.1/19968/102.9/2025,4 Juni 2025,22 September 2026,22 Juni 2026,Berjalan,ddtk4eru69c65sfell9inrtlr0@google.com,"fk@uii.ac.id 
contact@rsuii.co.id",https://apprssm.rssoedono.jatimprov.go.id/sipedas/assets/file_surat_kerjasama/01-09-2022-1672722847-PKS_FK_UII_dan_RSI_Yogyakarta_PDHI.pdf,
47,Fakultas Kedokteran Universitas Islam Indonesia,RSUD DR. Soediran Mangun Sumarso Wonogiri,Pelaksanaan Program Pendidikan di Rumah Sakit Jejaring ,415.a/Dek-FK/01/Div.Adm.URT-FK/IV/2025,044/RSUD/IV/2025,100.3.7.1/14107/102.9/2025,1 April 2025,22 September 2026,22 Juni 2026,Berjalan,48f58ukalmho8er8gvudhc36no@google.com,"fk@uii.ac.id
rsud.soediran@gmail.com",https://apprssm.rssoedono.jatimprov.go.id/sipedas/assets/file_surat_kerjasama/27-09-2024-1730250299-Scan_Addendum_Kedua_PKS_FK_UII_ttg_Pendidikan_Dokter.pdf,
48,FK UII,RSUD dr. Soedirman Kebumen,Pelaksanaan Program Pendidikan di Rumah Sakit Jejaring ,374.a/Dek-FK/01/Ka.UPKS/XI/2025,000.4.7.2/53/PKS/IV/2025,100.3.7.1/12988/102.9/2025,9 April 2025,22 September 2026,22 Juni 2026,Berjalan,luqo9jbsb6feo87lpp4j9pmqvk@google.com,"fk@uii.ac.id
rsud@kebumenkab.go.id",https://apprssm.rssoedono.jatimprov.go.id/sipedas/assets/file_surat_kerjasama/22-01-2018-1675150698-PKS_Tripartid_FK_UII_dan_RS_Soedirman_Kebumen_ttg_Program_Pendidikan_Dokter_di_RS_Jejaring.pdf,
49,Universitas Katolik Widya Mandala Surabaya Kampus Kota Madiun,,"Pelaksanaan Tri Dharma Perguruan Tinggi yaitu Pendidikan, Penelitian, dan Pengabdian Kepada Masyarakat Universitas Katolik Widya Mandala Surabaya Kampus Kota Madiun",5826A/WM01/H/2023,,100.3.7.1/38.020/102.9/2023,1 Oktober 2023,30 September 2026,30 Juni 2026,Berjalan,ire5rbtip8l4gkfvi8lvb77qgk@google.com,osc-promotionsadmission-center@ukwms.ac.id,belum ada scan PKS,
50,Fakultas Farmasi Universitas Setia Budi,,Pelaksanaan Program Praktek Kerja Profesi Apoteker (PKPA) Rumah Sakit,092.a/H4-04/11.04.2023,,"445/16,794/102,9/2023",4 November 2026,4 Oktober 2026,4 Juli 2026,Berjalan,a5gsatu4quaqp9954jguohoe1o@google.com,tidak ada,belum ada scan PKS,
51,Universitas Duta Bangsa,,"Pelaksanaan Kegiatan Pendidikan, Penelitian, dan Pengabdian Masyarakat Mahasiswa Fakultas Ilmu Kesehatan Univ. Duta Bangsa Surakarta di RSUD dr. Soedono Provinsi Jawa timur",061/UDB.D2/C.5-HK/XI/2023,,100.3.7.1/43.606/102.9/2023,10 November 2023,9 November 2026,9 Agustus 2026,Berjalan,f3nvo716h8kmfffiu4nbseficg@google.com,info@udb.ac.id,https://apprssm.rssoedono.jatimprov.go.id/sipedas/assets/file_surat_kerjasama/10-11-2023-1704256737-PKS_FIKES_Univ_Duta_Bangsa_Surakarta_2023.pdf,
52,Fakultas Kedokteran Universitas Islam Indonesia Yogyakarta,,Pendidikan Klinik Dokter Muda FK UII Yogyakarta di RSUD dr. Soedono Madiun,15.4/Dek/01/Div.Um/I/2022,,445/700/303/2022,5 Januari 2022,4 Januari 2027,4 Oktober 2026,Berjalan,d1gc0p7e3g0prn600h11sbsk5g@google.com,fk@uii.ac.id,https://apprssm.rssoedono.jatimprov.go.id/sipedas/assets/file_surat_kerjasama/05-01-2022-1646112180-PKS_FK_UII_2022.pdf,
53,Fakultas Kedokteran Universitas Islam Indonesia Yogyakarta,,Addendum Pendidikan Klinik Dokter Muda FK UII ,627.a/Dek/01/Div.um/VI/2022,,445/27.207/102.9/2022,21 Juni 2022,4 Januari 2027,4 Oktober 2026,Berjalan,07e1ra01trtie4vbndocnion7g@google.com,fk@uii.ac.id,https://apprssm.rssoedono.jatimprov.go.id/sipedas/assets/file_surat_kerjasama/05-01-2022-1646112180-PKS_FK_UII_2022.pdf,
54,Fakultas Kedokteran Universitas Hang Tuah Surabaya ,Rumah Sakit Pusat Angkatan Laut DR. Ramelan,Pemanfaatan RSUD dr. Soedono Provinsi Jawa Timur sebagai Jejaring Rumah Sakit Pendidikan  Fakultas Kedokteran Universitas Hang Tuah Surabaya,,,"100.3.7.1/861/102.9/2024",11 Januari 2024,10 Januari 2027,10 Oktober 2026,Berjalan,s59r6perrq13k6p6j1f02lg5rs@google.com,hangtuah@hangtuah.ac.id,belum ada scan PKS,
55,Fakultas Kedokteran Universitas Muhammadiyah Surabaya,,Tridharma Perguruan Tinggi,039/MoA/II.3.AU/FK/A/2024,,100.3.7.1/932/102.9/2024,11 Januari 2024,10 Januari 2027,10 Oktober 2026,Berjalan,noh8lr6pl66768jjsij270p79c@google.com,tidak ada,belum ada scan PKS,
56,Fakultas Kedokteran Universitas Muhammadiyah Surabaya,,Addendum Tridharma Perguruan Tinggi,039.1/MoA/II.3.AU/FK/A/2025,,100.3.7.1/43354/102.9/2025,18 November 2025,10 Januari 2027,10 Oktober 2026,Berjalan,4d60qh27gr9pdi3fd8o4kqf6ps@google.com,tidak ada,belum ada scan PKS,
57,Fakultas Psikologi UIN Maulana Malik Ibrahim Malang,,Praktik Kerja Lapangan Psikologi,105/F.Psi/OT.01.6/01/2024,,100.3.7.1/1116/102.9/2024,12 Januari 2024,12 Januari 2027,12 Oktober 2026,Berjalan,8ltall09h43q48c0kpec889c0o@google.com,fpsi@uin-malang.ac.id,https://apprssm.rssoedono.jatimprov.go.id/sipedas/assets/file_surat_kerjasama/28-06-2021-1628733332-PKS_UIN_Maulana_Malik_Ibrahim_Malang.pdf,
58,Fakultas Kedokteran Universitas Nahdlatul Ulama Surabaya ,RSI Surabaya Jemursari,"Program Pendidikan Kedokteran pada Jejaring Rumah Sakit di Bidang Pendidikan, Penelitian dan Pengabdian Masyarakat",24.10/UNUSA/Adm.MoA/I/2024,,JS.A.SKR.0551.01.24,17 Januari 2024,16 Januari 2027,16 Oktober 2026,Berjalan,3qls5s4hplm65pif4eucos6efs@google.com,"info@unusa.ac.id
rsis.jemursari@rsisjs.id",belum ada scan PKS,
59,Fakultas Matematika dan Ilmu Pengetahuan Alam Universitas Negeri Malang,,"Bidang Penelitian, Pengabdian kepada Masyarakat, dan Pendidikan dalam Rangka Implementasi Kampus Merdeka",1.3.37/UN 32.3/KS/2024,,100.3.7.1/7594/102.9/2024,1 Maret 2024,28 Februari 2027,28 November 2026,Berjalan,nvvv1r8chr6ci6av7oqg3pdq1k@google.com,kaprodi.s1biotek.fmipa@um.ac.id,https://apprssm.rssoedono.jatimprov.go.id/sipedas/assets/file_surat_kerjasama/01-03-2024-1715673836-PKS_FMIPA_Univ_Negeri_Malang_2024.pdf,
60,Universitas Widya Husada Semarang,,Pelasaknaan Tri Dharma Perguruan Tinggi,33/PKS/UHWS/VII/2024,,100.3.7.1/20409/102.9/2024,22 April 2024,21 April 2027,21 Januari 2027,Berjalan,o7iucbif8h1r9blk4elcerr200@google.com,baak@uwhs.ac.id,belum ada scan PKS,
61,STIKES Guna Bangsa Yogyakarta,,Pelaksanaan Kegiatan Tri Dharma PT Dan Pendayagunaan Lulusan Bagi Mahasiswa STIKES Guna Bangsa Yogyakarta,,,100.3.7.1/18957/102.9/2024,1 Juni 2024,31 Mei 2027,28 Februari 2027,Berjalan,oj593g6tmd1nenvcgqb7837pqo@google.com,info@gunabangsa.ac.id,https://apprssm.rssoedono.jatimprov.go.id/sipedas/assets/file_surat_kerjasama/19-04-2021-1621312244-PKS_STIKES_GUNA_BANGSA_YOGYAKARTA.pdf,
62,FK Universitas Brawijaya,,Penyelenggaraan Pendidikan Dokter Spesialis bagi Dokter Utusan Khusus,3128.8/UN10.F08/KS/2022,,445/29.316/102.9/2022,1 Juli 2022,30 Juni 2027,30 Maret 2027,Berjalan,kniegi41llbh6tok4th1j5sm38@google.com,sekr.fk@ub.ac.id,belum ada scan PKS,
63,FK Universitas Brawijaya,,Addendum,6559.2/UNIO.F08/KS/2022,,"445/69,105/102.9/2022",1 Desember 2022,30 Juni 2027,30 Maret 2027,Berjalan,ht2ibk8ji3t64ounpdt909dqm4@google.com,sekr.fk@ub.ac.id,belum ada scan PKS,
64,FK Universitas Brawijaya,,Addendum II,3114.3/UN10.F08/KS/2023,,445/23.276/102.9/2023,1 Juni 2023,30 Juni 2027,30 Maret 2027,Berjalan,je16mkr4m1048vd2cq5h966pgs@google.com,sekr.fk@ub.ac.id,belum ada scan PKS,
